,last_review_year_date,neighbourhood,neighbourhood_group,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
89,2017-01-01,Marrickville,,119.97333333333333,5.433333333333334,4.993333333333333,0.19406666666666667,1.3,30.85333333333333
90,2018-01-01,Marrickville,,119.1007874015748,2.988976377952756,24.903937007874017,1.4618110236220472,3.289763779527559,103.8755905511811
91,2014-01-01,Mosman,,425.0,16.5,3.0,0.045,1.5,209.0
92,2015-01-01,Mosman,,405.7142857142857,3.5714285714285716,1.4285714285714286,0.037142857142857144,6.428571428571429,43.57142857142857
93,2016-01-01,Mosman,,422.030303030303,14.787878787878787,2.8181818181818183,0.08212121212121212,14.121212121212121,108.6969696969697
94,2017-01-01,Mosman,,458.88,9.02,4.1,0.157,8.62,94.28
95,2018-01-01,Mosman,,291.7190082644628,4.082644628099174,18.376033057851238,1.1230578512396694,13.12396694214876,140.88429752066116
96,2012-01-01,North Sydney,,400.0,6.0,6.0,0.06,1.0,364.0
97,2014-01-01,North Sydney,,182.125,4.375,1.875,0.03125,1.875,135.0
98,2015-01-01,North Sydney,,170.62962962962962,4.407407407407407,3.8518518518518516,0.07962962962962962,2.5185185185185186,39.48148148148148
99,2016-01-01,North Sydney,,216.50526315789475,5.136842105263158,4.957894736842105,0.11747368421052631,4.905263157894737,47.89473684210526
100,2017-01-01,North Sydney,,177.15942028985506,8.601449275362318,7.326086956521739,0.2268840579710145,16.8768115942029,74.42028985507247
101,2018-01-01,North Sydney,,166.94117647058823,4.956259426847662,23.704374057315235,1.3649170437405733,16.725490196078432,119.11764705882354
102,2015-01-01,Parramatta,,61.6,2.8,3.2,0.072,1.0,72.6
103,2016-01-01,Parramatta,,98.3,3.8,2.6,0.079,1.2,86.9
104,2017-01-01,Parramatta,,115.41379310344827,17.689655172413794,3.5517241379310347,0.1696551724137931,1.8275862068965518,136.6206896551724
105,2018-01-01,Parramatta,,96.67697594501718,2.4192439862542954,17.29553264604811,1.6141580756013747,3.9656357388316152,126.66666666666667
106,2016-01-01,Penrith,,99.0,1.5,5.0,0.12,1.5,162.5
